Date	Price	Open	High	Low	Vol.	Change %
07/04/2021	14,826.09	14,755.15	14,891.19	14,551.76	655.67M	0.67%
06/27/2021	14,727.63	14,401.63	14,738.14	14,400.59	757.66M	2.67%
06/20/2021	14,345.18	14,055.04	14,429.14	13,967.89	836.58M	2.10%
06/13/2021	14,049.58	14,002.14	14,205.43	13,843.60	1.06B	0.37%
06/06/2021	13,998.30	13,744.15	13,998.65	13,710.11	771.76M	1.65%
05/30/2021	13,770.78	13,764.27	13,784.77	13,469.85	615.30M	0.62%
05/23/2021	13,686.51	13,504.39	13,765.80	13,500.12	934.75M	2.05%
05/16/2021	13,411.74	13,329.87	13,573.84	12,994.35	879.27M	0.14%
05/09/2021	13,393.12	13,647.73	13,648.49	12,967.18	1.02B	-2.38%
05/02/2021	13,719.63	13,923.04	13,955.00	13,396.11	932.24M	-1.02%
04/25/2021	13,860.76	13,954.94	14,073.48	13,836.10	936.86M	-0.58%
04/18/2021	13,941.44	13,970.83	14,025.64	13,716.76	850.56M	-0.72%
04/11/2021	14,041.91	13,792.74	14,050.38	13,747.63	877.19M	1.42%
04/04/2021	13,845.05	13,434.04	13,849.31	13,420.81	810.99M	3.87%
03/28/2021	13,329.51	12,950.51	13,333.41	12,798.03	807.34M	2.70%
03/21/2021	12,979.12	12,943.14	13,180.66	12,627.92	1.09B	0.87%
03/14/2021	12,866.99	12,936.13	13,297.48	12,704.07	1.39B	-0.54%
03/07/2021	12,937.29	12,629.56	13,117.87	12,287.57	1.14B	2.12%
02/28/2021	12,668.51	13,106.02	13,301.62	12,208.39	1.24B	-1.87%
02/21/2021	12,909.44	13,414.04	13,447.37	12,758.12	1.27B	-4.94%
02/14/2021	13,580.78	13,841.03	13,879.78	13,477.17	694.83M	-1.64%
02/07/2021	13,807.70	13,672.33	13,816.25	13,531.93	803.05M	1.50%
01/31/2021	13,603.96	13,067.65	13,642.96	12,983.10	939.98M	5.25%
01/24/2021	12,925.38	13,515.63	13,563.70	12,845.43	1.28B	-3.30%
01/17/2021	13,366.40	12,921.61	13,433.69	12,861.30	798.70M	4.39%
01/10/2021	12,803.93	12,961.50	13,037.05	12,758.10	1.03B	-2.30%
